row,plc,horseno,horse,jockey,trainer,actualwt,declarwt,draw,finishtime,winodds,date,raceno,class,distance
0,1,4,VICTOR EMPEROR(S425),J Moreira,C H Yip,132,1132,11,1.09.84,6.1,05/03/17,4,5,1200
0,1,3,GORGEOUS AGAIN(V326),J Moreira,C S Shum,132,1044,7,1.49.23,2.8,21/05/17,4,4,1800
0,1,4,CHEEKY TOO(T152),J Moreira,J Moore,128,1126,3,1.37.19,2.7,21/06/15,5,3,1600
0,1,4,HEROIC GURU(S260),J Moreira,D J Hall,131,1045,3,1.35.23,3.4,27/06/15,5,4,1600
0,1,3,HAPPY AGILITY(T184),J Moreira,P F Yiu,133,1161,4,1.22.99,3.5,18/10/15,5,4,1400
0,1,11,YOUNG WATCHMAN(T003),J Moreira,C S Shum,116,1106,7,1.41.40,7.8,22/10/15,5,3,1650
0,1,2,PENANG HALL(T062),J Moreira,D J Hall,133,1239,7,0.56.95,3,08/11/15,5,4,1000
0,1,6,PENIAPHOBIA(S143),J Moreira,A S Cruz,126,1150,14,1.08.74,4.4,13/12/15,5,1,1200
0,1,1,HARD BALL GET(P373),J Moreira,D J Hall,133,1032,3,1.22.37,2.4,19/12/15,5,4,1400
0,1,5,GLENEALY PRIZE(T181),J Moreira,P O'Sullivan,126,1254,1,1.09.83,1.5,27/12/15,5,4,1200
0,1,1,LEADING HORSE(T322),J Moreira,L Ho,131,1088,13,1.35.17,2,01/01/16,5,4,1600
0,1,13,AZTEC EMPIRE(T064),J Moreira,W Y So,116,1134,2,1.36.40,2.3,31/01/16,5,4,1600
0,1,5,RAGING BULL(S370),J Moreira,J Size,129,1139,12,1.22.45,7,28/03/16,5,4,1400
0,1,3,SEMPITERNAL(S100),J Moreira,W Y So,132,1262,1,1.49.22,3.6,06/04/16,5,4,1800
0,1,4,TOM'S CHARM(P450),J Moreira,J Size,127,1031,9,1.41.59,5.1,13/04/16,5,4,1650
0,1,10,FLYING FORCE(V014),J Moreira,C H Yip,121,1070,4,1.09.30,3.2,29/05/16,5,3,1200
0,1,1,VARA PEARL(S138),J Moreira,A T Millard,133,1006,8,1.40.70,5.5,22/06/16,5,4,1650
0,1,5,SUPER SPRINTER(V105),J Moreira,C S Shum,129,1043,1,1.41.63,1.9,23/11/16,5,4,1650
0,1,12,EASY HEDGE(T409),J Moreira,J Size,118,1097,3,1.49.35,2.9,04/01/17,5,3,1800
0,1,6,DR LISTENING(V288),J Moreira,J Size,122,1107,1,1.09.87,1.5,14/01/17,5,3,1200
0,1,9,IMPERIAL SEAL(T223),J Moreira,C Fownes,122,1100,6,1.40.75,2.2,25/01/17,5,4,1650
0,1,7,WAYFOONG VINNIE(V055),J Moreira,J Size,120,1104,12,0.56.88,4.7,15/03/17,5,3,1000
0,1,12,HAPPY METEOR(T171),J Moreira,J Moore,116,1153,3,0.57.13,1.5,08/07/15,6,3,1000
0,1,12,GO SANDY GO(S021),J Moreira,D J Hall,115,1126,7,1.48.33,5.3,12/07/15,6,4,1800
0,1,4,TERRIFIC MASTER(P436),J Moreira,A S Cruz,130,1166,11,1.35.02,3.5,18/10/15,6,4,1600
0,1,10,BAMBOO DANCE(M327),J Moreira,D J Hall,126,1169,3,1.49.60,1.9,25/10/15,6,4,1800
0,1,2,SECRET COMMAND(S275),J Moreira,A T Millard,125,1070,3,1.08.89,3.1,08/11/15,6,3,1200
0,1,11,SURE PEACE(S326),J Moreira,J Moore,123,1140,6,1.40.10,3.3,06/12/15,6,4,1650
0,1,3,LUCKY YEAR(T245),J Moreira,C S Shum,127,1128,10,1.11.03,3.4,09/12/15,6,3,1200
0,1,10,RIGHT CALL(V024),J Moreira,J Size,125,1141,12,1.23.16,5.2,27/12/15,6,4,1400
0,1,1,HAMMER KING(V034),J Moreira,P F Yiu,131,1202,4,1.10.49,3.2,13/03/16,6,4,1200
0,1,1,MAGICAL BEAUTY(T342),J Moreira,A S Cruz,133,1123,3,1.40.77,3.4,16/03/16,6,4,1650
0,1,6,KING OF MONGOLIA(S414),J Moreira,C S Shum,126,1120,4,1.42.23,3.4,23/03/16,6,3,1650
0,1,5,LAND GRANT(V131),J Moreira,C S Shum,128,1130,11,1.39.73,4.1,31/03/16,6,3,1650
0,1,2,SICHUAN VIGOUR(P412),J Moreira,J Size,126,1074,6,1.08.10,2.7,06/04/16,6,2,1200
0,1,10,BLAZE STAMINA(V070),J Moreira,A S Cruz,116,1051,5,1.10.06,2.6,27/04/16,6,3,1200
0,1,3,HO HO FEEL(T029),J Moreira,C H Yip,128,1154,9,1.50.44,3.9,01/06/16,6,4,1800
0,1,1,DRAGON GENERAL(T400),J Moreira,Y S Tsui,133,1106,2,0.55.84,5.2,01/07/16,6,3,1000
0,1,5,IRON BOY(V071),J Moreira,K W Lui,122,1169,3,1.09.02,2.2,01/10/16,6,3,1200
0,1,4,UNICRON JEWELLERY(V333),J Moreira,J Size,127,1131,3,1.35.50,2.1,27/11/16,6,4,1600
0,1,1,WONDERFUL FIGHTER(S422),J Moreira,P F Yiu,133,1150,5,1.10.67,1.9,07/12/16,6,4,1200
0,1,6,BLIZZARD(S398),J Moreira,P F Yiu,125,1136,9,1.23.13,3.8,11/12/16,6,1,1400
0,1,5,BIG BANG BONG(V186),J Moreira,J Size,126,1059,9,1.22.30,6.5,08/01/17,6,3,1400
0,1,11,PREMIERE(A051),J Moreira,J Size,119,1109,10,0.56.81,2.6,11/01/17,6,3,1000
0,1,3,PREMIERE(A051),J Moreira,J Size,130,1119,7,0.57.11,1.7,02/02/17,6,3,1000
0,1,9,COOL AND NEAT(V087),J Moreira,D J Hall,120,1194,14,1.22.03,5.8,05/03/17,6,4,1400
0,1,10,LOTUS BREEZE(T112),J Moreira,W Y So,121,1094,5,1.09.76,3.6,22/03/17,6,3,1200
0,1,6,SUNNY WIN(V254),J Moreira,L Ho,126,1222,9,1.09.44,1.9,09/07/17,6,3,1200
0,1,1,THEWIZARDOFOZ(T251),J Moreira,J Size,133,1164,12,1.10.04,1.6,21/06/15,7,3,1200
0,1,1,DASHING FELLOW(S284),J Moreira,J Moore,133,1152,3,1.21.56,1.6,27/06/15,7,3,1400
0,1,3,PACKING PINS(S386),J Moreira,P F Yiu,126,1146,10,1.22.35,1.8,06/09/15,7,2,1400
