horse_name,jockey,trainer,actual_weight,declared_horse_weight,draw,finish_time,win_odds,running_position_1,running_position_2,running_position_3,finishing_position
BALTIC WARRIOR,J Moreira,C S Shum,132,1111,3,1.10.11,3,7,6,5,5
EYE ON YOU,J Moreira,J Size,132,1106,2,1.10.20,5.6,3,3,5,5
SHADOWFAXE,J Moreira,J Size,118,1196,9,0.57.52,2.2,1,2,5,5
NOBLE DELUXE,J Moreira,D Cruz,133,1047,8,1.40.85,6.2,8,8,9,8
NOVEL START,J Moreira,T K Ng,126,1090,12,1.09.74,6.6,1,1,4,4
DEHERE'S THE LOVE,J Moreira,J Size,119,1120,4,1.08.08,2.3,7,6,6,6
PENANG HALL,J Moreira,D J Hall,128,1213,2,0.56.86,5.1,3,2,1,1
SMART GUY,J Moreira,L Ho,121,926,6,2.17.23,5.9,8,8,9,1
BEAUTY AHEAD,J Moreira,A S Cruz,127,1226,2,1.23.05,3.7,5,3,3,2
SUN JEWELLERY,J Moreira,J Size,127,1102,11,1.08.95,3.2,7,7,1,1
ATHENA BABY,J Moreira,C S Shum,133,1054,2,1.35.43,1.9,4,4,4,1
CELESTIAL SMILE,J Moreira,P O'Sullivan,126,1132,4,1.34.05,2.8,7,7,8,2
HOLMES LEGEND,J Moreira,W Y So,124,1049,9,1.48.27,4.6,9,12,11,4
AMAZING KIDS,J Moreira,J Size,128,1137,4,1.22.23,1.9,3,3,3,2
LIGHTNING AND GOLD,J Moreira,C H Yip,133,1030,2,1.41.57,3.6,5,5,5,2
HOW SPEEDY,J Moreira,A T Millard,129,1093,11,1.11.36,8.1,3,4,4,4
MR VANILLA,J Moreira,D E Ferraris,116,1038,9,1.43.51,8.4,12,12,9,7
SPARKLING SWORD,J Moreira,K W Lui,118,1155,11,1.52.26,6.6,2,2,2,1
HAPPY SURVEYS,J Moreira,J Size,132,1148,6,1.11.27,2.4,7,7,1,1
SHINING CHAMPION,J Moreira,J Size,119,1088,8,1.12.75,3.6,5,4,7,7
SPEEDY LONGWAH,J Moreira,C S Shum,117,1077,10,1.45.00,2.1,3,3,1,3
GOLDEN ADDICTION,J Moreira,J Size,129,1052,8,1.44.85,7,12,11,11,8
PEOPLE'S KNIGHT,J Moreira,J Moore,120,1163,1,0.57.60,8.5,3,3,4,4
VICTORY MAGIC,J Moreira,J Moore,122,1154,1,1.11.77,13,6,4,7,7
HARBOUR MASTER,J Moreira,J Moore,128,1169,8,1.36.36,8.9,8,7,8,6
DARK CORE,J Moreira,J Size,119,1084,12,1.10.24,11,1,1,2,2
FANTASTICLIFE,J Moreira,A S Cruz,132,1134,7,1.22.69,3.3,10,9,6,3
TOP BONUS,J Moreira,J Size,125,1196,9,1.10.19,3.8,2,3,6,6
ELITE PRIDE,J Moreira,J Moore,119,1051,4,1.35.42,6.4,9,9,5,6
COUP D'ETAT,J Moreira,J Size,125,1182,7,1.10.91,5.5,6,6,8,8
BEAR-POP,J Moreira,J Moore,126,1081,13,1.22.37,5.8,10,7,6,1
BAAB AL NASR,J Moreira,C W Chang,122,972,5,1.25.93,13,5,5,10,12
SKY MAN,J Moreira,P F Yiu,130,1123,7,0.57.26,7.2,5,3,6,6
SURE PEACE,J Moreira,J Moore,131,1119,6,1.49.06,2.8,13,11,7,1
BAMBOO DANCE,J Moreira,D J Hall,115,1141,7,1.35.13,3.8,8,8,9,1
PACKING PINS,J Moreira,P F Yiu,122,1149,14,1.22.37,2.3,9,4,3,1
GOLDEN BAUHINIA,J Moreira,Y S Tsui,121,1079,11,0.57.03,18,3,5,5,5
SERGEANT TITANIUM,J Moreira,J Size,124,1107,2,2.02.90,4.6,10,10,11,11
ROUGE ET BLANC,J Moreira,C S Shum,129,1162,5,1.49.29,1.7,7,8,9,3
ONE MORE WORLD,J Moreira,J Moore,125,1109,14,1.22.65,3.6,3,2,2,7
RED DANCER,J Moreira,J Size,129,1080,12,1.35.96,9.1,13,14,14,4
HELENE HAPPY STAR,J Moreira,J Moore,126,1109,5,2.27.58,3,3,3,3,3
THEWIZARDOFOZ,J Moreira,J Size,118,1163,4,1.08.69,1.3,7,5,1,1
NOT LISTENIN'TOME,J Moreira,J Moore,115,1140,2,1.08.47,3.4,4,4,1,1
CIRCUIT KING,J Moreira,A S Cruz,120,1074,12,1.09.82,3.4,2,2,2,2
RED DANCER,J Moreira,J Size,130,1052,9,1.34.44,6,11,10,9,1
CONTENTMENT,J Moreira,J Size,128,1107,9,1.34.51,3.8,3,2,2,1
MEDIC SWORDSMAN,J Moreira,A T Millard,130,1164,7,1.22.90,8.1,6,6,4,4
OCTAL LUCK,J Moreira,A Lee,122,1216,7,1.09.44,27,1,1,3,3
SMART GUY,J Moreira,L Ho,125,924,7,2.03.38,4.1,8,7,7,6
HEROIC GURU,J Moreira,D J Hall,129,1050,4,1.23.58,2.7,8,9,9,4
BEAR-POP,J Moreira,J Moore,132,1087,13,1.36.59,6.2,9,8,7,12
AMAZING KIDS,J Moreira,J Size,133,1119,12,1.21.00,1.8,7,6,5,3
NOT LISTENIN'TOME,J Moreira,J Moore,123,1154,2,1.21.79,1.9,2,5,4,6
CHATER ROCK,J Moreira,D E Ferraris,120,1115,5,0.56.02,4.6,6,6,5,5
KING OF SMARTS,J Moreira,D Cruz,121,1035,4,0.57.77,9,7,6,6,6
ENSURING,J Moreira,J Size,131,1085,7,2.16.07,2,7,6,6,1
TRENDIFUL,J Moreira,C S Shum,124,1104,11,0.57.35,3.8,3,4,3,3
EYE ON YOU,J Moreira,J Size,125,1086,6,1.10.87,6.5,5,5,10,10
HARBOUR MASTER,J Moreira,J Moore,133,1168,7,1.48.90,4.2,10,10,10,7
HAPPY SURVEYS,J Moreira,J Size,118,1159,4,1.10.25,1.6,8,7,2,2
BAMBOO DANCE,J Moreira,D J Hall,120,1155,6,1.34.60,2.4,9,9,8,1
EROICO,J Moreira,J Size,129,1116,11,1.10.29,3.1,4,5,3,3
BALTIC WARRIOR,J Moreira,C S Shum,130,1107,11,1.10.26,13,11,10,3,3
REGENCY DARLING,J Moreira,K L Man,123,1225,2,1.09.52,3.1,5,4,2,2
SURE PEACE,J Moreira,J Moore,119,1130,7,1.38.71,2.2,10,10,9,3
CHEEKY TOO,J Moreira,J Moore,128,1126,3,1.37.19,2.7,6,7,7,1
MALAYAN PEARL,J Moreira,D Cruz,131,1149,13,1.52.85,6.9,4,3,2,10
THEWIZARDOFOZ,J Moreira,J Size,133,1164,12,1.10.04,1.6,2,2,1,1
KIRAM,J Moreira,D E Ferraris,127,1120,5,1.25.31,10,8,7,8,10
SEA RUBY,J Moreira,J Moore,122,1185,4,1.08.38,3.9,3,2,2,2
MOBILE KING,J Moreira,C Fownes,127,1047,11,2.16.54,5,1,2,5,3
DRAGON GLORY,J Moreira,C W Chang,131,1161,9,1.40.70,6.9,6,6,6,6
TOP BONUS,J Moreira,J Size,123,1185,8,1.10.56,3.5,2,2,1,1
WONDERFUL FIGHTER,J Moreira,P F Yiu,117,1119,7,1.10.03,3.5,3,3,1,1
AXIOM,J Moreira,A Schutz,130,1084,12,1.41.25,7.2,12,12,10,6
WILLIE INVICTUS,J Moreira,Y S Tsui,132,999,5,1.41.53,4,7,7,8,4
SHADOWFAXE,J Moreira,J Size,115,1188,5,1.09.49,4.1,1,1,2,2
STAR MAJESTIC,J Moreira,P O'Sullivan,130,1086,2,1.40.76,3.2,3,4,4,1
NOVEL START,J Moreira,T K Ng,124,1080,8,1.10.04,3.8,3,2,6,6
SUN JEWELLERY,J Moreira,J Size,116,1113,2,1.21.02,1.6,3,3,3,1
NOBLE BUDDIES,J Moreira,J Moore,127,1200,13,0.56.84,2.7,7,9,8,8
ONE MORE WORLD,J Moreira,J Moore,124,1123,8,1.22.89,2,3,2,2,1
MODERN FORTUNE,J Moreira,J Size,119,1001,12,1.09.69,3.2,6,5,3,3
HEROIC GURU,J Moreira,D J Hall,131,1045,3,1.35.23,3.4,7,10,8,1
SIGHT BELIEVER,J Moreira,J Size,131,1156,14,0.55.64,5,3,3,3,3
DASHING FELLOW,J Moreira,J Moore,133,1152,3,1.21.56,1.6,6,4,4,1
BRILLIANT DREAM,J Moreira,D J Hall,122,1102,5,1.09.87,2.9,4,7,8,8
ASHKIYR,J Moreira,J Moore,124,1098,14,1.48.27,10,13,14,13,6
SAFARI MAGIC,J Moreira,Y S Tsui,132,1088,7,1.40.88,4.2,9,8,8,6
WINNING BOY,J Moreira,A Schutz,125,967,2,1.09.77,3.5,5,2,1,1
TOP BONUS,J Moreira,J Size,126,1186,8,1.10.65,4.8,1,1,3,3
SHADOWFAXE,J Moreira,J Size,120,1180,12,1.15.34,2.7,1,2,12,12
MAGIC STAR,J Moreira,P O'Sullivan,125,1161,4,0.57.83,2.3,10,7,4,4
HAPPY METEOR,J Moreira,J Moore,116,1153,3,0.57.13,1.5,5,3,1,1
AXIOM,J Moreira,A Schutz,130,1093,11,1.41.23,10,10,10,8,3
ALBICELESTE,J Moreira,J Moore,125,1048,11,1.51.43,8,11,11,11,9
EROICO,J Moreira,J Size,130,1124,3,1.09.90,2.8,7,5,3,3
BAMBOO DANCE,J Moreira,D J Hall,127,1154,10,1.47.89,2.3,12,13,13,1
HAPPY SURVEYS,J Moreira,J Size,121,1150,2,1.21.92,3.2,8,8,5,2
SUN JEWELLERY,J Moreira,J Size,126,1115,7,1.20.88,1.6,2,4,4,1
WINNING ADVANTAGE,J Moreira,A T Millard,115,1107,13,1.10.55,13,8,8,11,11
NOBLE BUDDIES,J Moreira,J Moore,125,1196,6,1.10.75,7.4,1,1,11,11
SO FAST,J Moreira,J Size,121,1062,6,1.09.76,1.2,2,3,5,5
RAGING BULL,J Moreira,J Size,124,1085,7,1.22.43,3.2,3,3,3,4
GO SANDY GO,J Moreira,D J Hall,115,1126,7,1.48.33,5.3,9,9,9,1
ONE MORE WORLD,J Moreira,J Moore,129,1113,5,1.22.78,2.9,7,7,6,11
ASHKIYR,J Moreira,J Moore,123,1089,13,1.34.54,8.1,14,14,14,4
CONTENTMENT,J Moreira,J Size,122,1116,9,1.33.62,2.4,3,1,1,1
ELEGANT FRAMES,J Moreira,T K Ng,132,1190,5,1.11.29,2.7,4,5,13,13
UP AND COMING,J Moreira,K W Lui,133,1115,10,1.22.86,3.1,5,6,5,1
TEAM FORTUNE,J Moreira,W Y So,125,1195,8,0.56.22,2.1,4,5,1,1
TEOFILO CALVA,J Moreira,J Size,115,1193,8,1.09.39,3.1,3,5,8,8
CRIMSON HEART,J Moreira,A T Millard,117,1097,9,1.24.52,7,11,13,12,10
FUN TAPESTRY,J Moreira,C W Chang,118,1089,4,1.10.03,5.2,3,4,2,2
ASIA RISING,J Moreira,W Y So,130,1164,2,1.23.47,6.1,6,7,8,6
PACKING PINS,J Moreira,P F Yiu,126,1146,10,1.22.35,1.8,4,4,3,1
COUNTRY MELODY,J Moreira,J Size,119,1091,8,0.56.11,3.8,7,7,4,4
BRILLIANT DREAM,J Moreira,D J Hall,119,1129,8,1.09.69,3.9,3,1,3,3
WINASWEWISH,J Moreira,C Fownes,125,1135,9,1.11.67,16,9,9,8,8
HARBOUR ALERT,J Moreira,D Cruz,122,1281,9,0.58.35,5.1,1,1,4,4
CHOICE EXCHEQUER,J Moreira,C H Yip,127,1152,8,1.42.95,2.8,2,3,3,3
POPPING CANDY,J Moreira,C Fownes,133,1072,4,1.11.25,3.7,5,5,4,4
VARA PEARL,J Moreira,A T Millard,126,1031,9,1.42.23,2.6,10,10,8,2
WILLIE INVICTUS,J Moreira,Y S Tsui,130,1000,2,1.42.70,5.4,8,7,7,4
ROYAL PARTNER,J Moreira,C Fownes,131,1092,9,1.11.51,5.1,10,10,7,7
ZACHARY,J Moreira,A Schutz,118,1144,4,1.35.28,2.1,4,3,2,1
HOLMES LEGEND,J Moreira,W Y So,119,1068,7,1.36.52,5.3,7,7,6,4
THE PALADIN,J Moreira,C Fownes,133,1069,1,1.24.74,12,5,3,5,9
OCTAL LUCK,J Moreira,A Lee,118,1242,1,1.11.50,3.8,2,1,12,12
ROUGE ET BLANC,J Moreira,C S Shum,131,1197,3,1.36.86,5.7,5,5,4,3
CASH COURIER,J Moreira,C S Shum,133,1173,5,1.23.14,13,10,10,9,6
KING OF HOUSEHOLD,J Moreira,D J Hall,130,1111,5,1.09.96,2,2,2,2,2
HAPPY JOURNEY,J Moreira,S Woods,124,1049,3,1.10.13,2.7,9,10,10,10
SHINING CHAMPION,J Moreira,J Size,118,1078,3,1.09.89,5.5,7,7,7,7
ALL YOU WISH,J Moreira,C H Yip,125,1176,1,1.22.25,11,9,10,11,5
CHIN CHUN,J Moreira,J Size,129,1086,1,1.11.69,5.2,4,5,3,3
AXIOM,J Moreira,A Schutz,130,1094,1,1.41.94,2.5,3,5,5,3
GIDDY GIDDY,J Moreira,J Size,117,1094,5,0.58.58,5.4,4,3,7,7
ROYAL PARTNER,J Moreira,C Fownes,129,1096,1,1.42.60,2.4,7,7,7,4
WINNING MASCOT,J Moreira,C W Chang,115,1085,3,1.42.23,4,7,9,8,2
GRACE HEART,J Moreira,C Fownes,121,977,1,1.10.45,3.4,3,3,1,1
TOP ACT,J Moreira,A T Millard,127,1103,5,1.40.70,4.6,7,6,6,3
FRIENDS OF YAN OI,J Moreira,T P Yung,127,1154,9,1.23.69,2.1,6,4,3,2
HAPPY SURVEYS,J Moreira,J Size,124,1163,5,1.22.46,2.1,12,11,10,5
MALAYAN PEARL,J Moreira,D Cruz,128,1155,8,1.23.48,16,8,8,7,8
BORN TO WIN,J Moreira,C Fownes,115,1049,1,1.22.54,1.6,1,1,1,1
CRUISE CONTROL,J Moreira,C Fownes,132,1105,5,1.41.06,3.9,5,5,4,2
FUN TAPESTRY,J Moreira,C W Chang,120,1085,9,1.10.01,4,2,2,3,3
SURE PEACE,J Moreira,J Moore,118,1141,3,1.39.88,1.9,7,8,7,1
BRILLIANT DREAM,J Moreira,D J Hall,119,1127,5,1.22.83,3.4,4,2,1,1
AMAZING KIDS,J Moreira,J Size,118,1121,11,1.08.80,2.2,10,9,1,1
SO FAST,J Moreira,J Size,120,1093,1,0.55.76,3.3,11,8,1,1
SMART UNION,J Moreira,K W Lui,125,1086,10,1.52.19,3.4,6,6,7,1
COUP D'ETAT,J Moreira,J Size,123,1187,7,1.42.11,3.3,4,5,5,10
SPARKLING SWORD,J Moreira,K W Lui,127,1161,3,1.51.81,2.3,2,2,2,1
STAR OF WAI BO,J Moreira,Y S Tsui,125,1121,10,1.11.26,8.6,5,5,2,2
TEN FLAMES,J Moreira,L Ho,120,1112,4,1.10.66,2.4,7,4,1,1
BOTH LUCKY,J Moreira,P F Yiu,122,1132,4,1.10.99,5.5,5,4,3,3
WILLIE INVICTUS,J Moreira,Y S Tsui,131,1018,5,1.41.31,6.1,7,6,6,3
DIVINE BOY,J Moreira,Y S Tsui,117,1070,4,1.10.57,2.7,7,7,2,2
UP AND COMING,J Moreira,K W Lui,121,1108,10,1.22.39,3.8,12,12,12,4
DIEGO KOSTA,J Moreira,J Size,125,1169,7,0.57.57,5.7,4,5,5,5
KING OF HOUSEHOLD,J Moreira,D J Hall,132,1116,12,1.09.94,4.1,7,7,7,7
ZACHARY,J Moreira,A Schutz,126,1147,10,1.37.22,2.3,2,5,4,7
BAMBOO DANCE,J Moreira,D J Hall,115,1164,3,1.36.84,2.5,6,6,4,1
HAPPY AGILITY,J Moreira,P F Yiu,133,1167,8,1.23.98,3.1,3,5,7,8
FOREVER RED,J Moreira,J Size,122,1096,9,1.10.75,14,3,5,10,10
SUPER FLUKE,J Moreira,D Cruz,124,1124,7,1.09.47,6.3,4,3,3,3
ATHENA BABY,J Moreira,C S Shum,121,1062,12,1.35.93,2.3,7,7,7,3
CHOICE EXCHEQUER,J Moreira,C H Yip,128,1167,10,1.24.08,3,1,2,2,6
EROICO,J Moreira,J Size,131,1140,1,1.09.68,5.1,6,4,3,3
ASHKIYR,J Moreira,J Moore,120,1070,7,1.48.71,2.6,8,8,8,2
MR VANILLA,J Moreira,D E Ferraris,116,1059,1,1.36.57,11,6,6,7,7
FABULOUS ONE,J Moreira,W Y So,120,1106,8,1.09.78,6,1,1,1,1
METALLIC STAR,J Moreira,C H Yip,132,1002,9,1.22.35,5.6,7,7,5,2
SHINING CHAMPION,J Moreira,J Size,118,1089,9,1.10.24,6,10,9,6,6
PENIAPHOBIA,J Moreira,A S Cruz,133,1151,3,0.56.48,5.2,6,5,7,7
THE SHOW,J Moreira,C H Yip,119,1075,1,1.22.32,2.7,5,3,2,1
CONTENTMENT,J Moreira,J Size,115,1128,3,1.21.17,2,4,4,4,1
CALIFORNIA CHERISH,J Moreira,A S Cruz,127,1028,4,1.42.12,8.8,8,7,6,3
SMART UNION,J Moreira,K W Lui,133,1086,3,1.51.20,1.9,3,5,5,1
AXIOM,J Moreira,A Schutz,131,1097,10,1.42.46,5.4,9,9,9,9
BALTIC WARRIOR,J Moreira,C S Shum,129,1124,9,1.11.04,7.6,8,7,2,2
STAR OF WAI BO,J Moreira,Y S Tsui,127,1127,6,1.11.72,3.2,2,2,10,10
BOTH LUCKY,J Moreira,P F Yiu,121,1146,5,1.10.95,7,7,8,7,7
PABLOSKY,J Moreira,J Moore,127,1110,11,1.10.84,19,4,5,9,9
SUPEROI,J Moreira,D Cruz,119,1052,6,1.41.34,2.6,7,7,8,2
DISTINCT COMMANDER,J Moreira,K W Lui,117,1222,11,1.09.81,2.5,8,7,2,2
INVINCIBLE FRESH,J Moreira,C Fownes,120,1016,8,1.22.60,4.2,7,6,6,2
HELEN'S CHOICE,J Moreira,K W Lui,133,1185,3,1.09.53,2.1,5,5,2,2
LEADING HORSE,J Moreira,L Ho,124,1084,9,1.35.90,3.2,3,3,1,1
HAPPY MOMENTS,J Moreira,J Moore,130,991,11,1.09.90,20,8,7,7,7
UNBEATABLE GUTS,J Moreira,L Ho,127,1100,7,1.22.53,4.4,7,7,4,1
CIRCUIT LAND,J Moreira,C S Shum,129,1049,1,1.34.69,1.5,4,3,2,1
SO FAST,J Moreira,J Size,123,1094,6,1.09.38,1.9,2,2,3,3
AMAZING KIDS,J Moreira,J Size,124,1132,1,1.21.40,1.7,4,4,3,3
SENSATION,J Moreira,T P Yung,123,1191,11,1.10.57,7.8,11,11,10,10
CHANS DELIGHT,J Moreira,D Cruz,115,1075,8,1.10.42,5.5,3,4,1,1
MR VANILLA,J Moreira,D E Ferraris,132,1045,7,1.42.02,7.6,7,7,7,2
FUN TAPESTRY,J Moreira,C W Chang,118,1099,4,1.10.98,4.2,7,7,3,3
GO-GETTER,J Moreira,J Size,127,1109,1,1.51.92,10,5,4,6,3
EXCITABLE BOY,J Moreira,A Schutz,116,1131,5,0.58.13,2.4,2,5,3,3
FIRST SIGHT LOVE,J Moreira,A Lee,116,1109,5,1.41.71,6.4,11,11,12,10
DIVINE BOY,J Moreira,Y S Tsui,115,1084,9,1.10.14,5.1,11,11,1,1
TOP ACE,J Moreira,S Woods,123,1153,2,1.50.94,2.5,6,7,9,4
DIEGO KOSTA,J Moreira,J Size,125,1170,6,0.56.62,6.9,2,2,2,2
HAPPY SURVEYS,J Moreira,J Size,123,1180,8,1.21.98,2.8,7,7,7,2
EVER SHINY,J Moreira,C H Yip,118,1097,4,1.23.59,3.7,5,6,5,9
VICTOR EMPEROR,J Moreira,C H Yip,115,1123,8,1.09.60,2.6,11,9,1,1
GLORIOUS VICTORY,J Moreira,C S Shum,115,1013,12,1.49.10,4.2,2,5,6,5
HAPPY AGILITY,J Moreira,P F Yiu,133,1161,4,1.22.99,3.5,10,10,9,1
TERRIFIC MASTER,J Moreira,A S Cruz,130,1166,11,1.35.02,3.5,10,9,10,1
ACCESS YEARS,J Moreira,J Size,133,1047,1,1.08.76,2.7,5,4,5,5
SEA RUBY,J Moreira,J Moore,127,1188,9,1.09.33,4,2,2,8,8
GIDDY GIDDY,J Moreira,J Size,133,1121,4,0.58.41,6.1,1,1,2,2
CHIN CHUN,J Moreira,J Size,129,1102,8,1.12.38,6.6,11,11,8,8
TEN FLAMES,J Moreira,L Ho,125,1106,1,1.10.57,1.6,3,3,1,1
WINNING MASCOT,J Moreira,C W Chang,115,1098,3,1.42.63,3.7,6,6,6,1
YOUNG WATCHMAN,J Moreira,C S Shum,116,1106,7,1.41.40,7.8,7,3,1,1
LUCKY HAMMER,J Moreira,C H Yip,126,1096,8,1.11.09,8.6,9,8,6,6
FOODIE,J Moreira,C S Shum,123,1081,2,1.41.65,5.6,4,6,3,1
STAR MAJESTIC,J Moreira,P O'Sullivan,115,1094,5,1.41.59,7.4,8,9,7,3
HONG KONG FAT,J Moreira,K W Lui,115,1110,4,1.36.10,6.3,9,9,10,9
THEWIZARDOFOZ,J Moreira,J Size,125,1173,1,1.22.00,1.5,5,4,5,2
FABULOUS ONE,J Moreira,W Y So,133,1106,8,1.09.15,1.8,1,1,1,1
ASHKIYR,J Moreira,J Moore,122,1077,4,2.02.23,2.3,7,7,7,3
CAREFREE LET GO,J Moreira,T P Yung,118,1072,12,1.09.91,10,7,7,3,3
MAGICAL BEAUTY,J Moreira,A S Cruz,124,1106,9,1.23.20,2,10,8,8,4
BAMBOO DANCE,J Moreira,D J Hall,126,1169,3,1.49.60,1.9,7,7,7,1
KIRAM,J Moreira,D E Ferraris,122,1119,7,1.35.91,3.8,12,12,10,2
CONTENTMENT,J Moreira,J Size,120,1146,11,1.33.79,2,2,2,2,1
PENIAPHOBIA,J Moreira,A S Cruz,122,1148,6,1.08.60,5.8,3,2,3,3
SWEET BEAN,J Moreira,C Fownes,120,995,4,1.51.41,2.4,6,5,5,1
EROICO,J Moreira,J Size,128,1146,8,1.10.58,4.5,8,8,6,6
MR VANILLA,J Moreira,D E Ferraris,133,1049,9,1.42.17,4.2,9,9,9,9
GENERAL IRON,J Moreira,C S Shum,131,1144,4,1.11.08,2,6,6,1,1
DIAMOND FRIENDS,J Moreira,J Size,123,1042,5,1.11.83,11,7,7,8,8
BORN TO WIN,J Moreira,C Fownes,121,1034,5,1.43.27,7.9,1,2,3,7
GO-GETTER,J Moreira,J Size,124,1101,3,1.42.05,2.7,5,5,5,2
HAPPY SURVEYS,J Moreira,J Size,125,1166,6,1.41.80,2,7,7,10,7
IMPERIAL ROME,J Moreira,D E Ferraris,130,999,4,1.11.29,5.4,6,7,7,7
HAPPY PLACE,J Moreira,T P Yung,116,1126,12,1.41.48,5.3,12,12,12,3
DOUBLE POINT,J Moreira,C Fownes,131,990,8,1.22.69,2.6,11,10,8,5
BRILLIANT DREAM,J Moreira,D J Hall,130,1132,10,1.22.92,4.8,4,4,3,6
CIRCUIT LAND,J Moreira,C S Shum,116,1049,12,1.34.85,2.2,3,4,3,4
DIEGO KOSTA,J Moreira,J Size,128,1172,12,1.10.12,4.4,2,2,1,1
HEARTLAND,J Moreira,D E Ferraris,130,1092,10,1.10.63,35,11,11,12,12
CARTOON FAY FAY,J Moreira,A T Millard,133,1138,8,1.39.34,2.8,8,8,8,3
PENANG HALL,J Moreira,D J Hall,133,1239,7,0.56.95,3,9,7,1,1
SECRET COMMAND,J Moreira,A T Millard,125,1070,3,1.08.89,3.1,8,6,1,1
DANEWIN EXPRESS,J Moreira,A S Cruz,131,1165,2,1.22.57,3.9,6,6,6,3
ENSURING,J Moreira,J Size,115,1120,11,1.47.16,4.1,10,10,10,3
PRESIDENTPARAMOUNT,J Moreira,C S Shum,125,1166,14,1.22.44,5.8,7,8,7,3
SAFARI MAGIC,J Moreira,Y S Tsui,128,1119,4,0.57.85,4.5,9,7,1,1
CHIN CHUN,J Moreira,J Size,129,1085,4,1.10.84,6.8,2,1,2,2
FRESH AND FRESH,J Moreira,P F Yiu,129,1067,11,1.46.73,6.3,1,3,7,12
REDWOOD BABY,J Moreira,C S Shum,133,1015,3,1.41.54,2.3,7,6,6,2
KYNAM,J Moreira,J Moore,133,1153,10,1.13.46,10,12,12,11,11
SMART UNION,J Moreira,K W Lui,122,1102,4,1.51.38,1.6,5,6,6,5
COUNTRY MELODY,J Moreira,J Size,127,1086,8,0.57.35,4.6,9,7,1,1
DIVINE BOY,J Moreira,Y S Tsui,125,1080,10,1.09.87,2.2,10,10,1,1
SPARKLING SWORD,J Moreira,K W Lui,117,1162,5,1.50.76,4.2,8,8,8,6
HEAVENISARACEHORSE,J Moreira,A Schutz,131,1112,10,1.11.07,3.5,4,6,4,4
KIRAM,J Moreira,D E Ferraris,119,1119,13,1.36.33,3.4,14,13,12,7
LION ROCK,J Moreira,J Size,125,1032,10,1.11.06,5.4,11,12,11,11
GLAMOROUS RYDER,J Moreira,P O'Sullivan,115,1083,2,2.03.06,2.2,4,4,4,1
UNBEATABLE GUTS,J Moreira,L Ho,133,1101,3,1.23.05,1.7,8,8,8,2
BEAR-POP,J Moreira,J Moore,133,1103,3,1.24.66,5.5,7,9,10,11
LEADING HORSE,J Moreira,L Ho,125,1089,10,1.36.70,2.5,4,4,5,3
TEAM FORTUNE,J Moreira,W Y So,115,1161,3,0.56.82,2.2,5,5,1,1
SUN JEWELLERY,J Moreira,J Size,124,1109,1,1.21.99,2.3,6,5,5,2
SO FAST,J Moreira,J Size,130,1081,12,1.10.01,1.9,1,1,3,3
CRIMSON HEART,J Moreira,A T Millard,115,1096,6,1.38.82,5.4,4,6,4,1
MODERN FORTUNE,J Moreira,J Size,123,1016,3,1.08.99,2.6,9,6,1,1
AMBITIOUS KING,J Moreira,R Gibson,125,1179,6,1.09.07,7.6,1,1,3,3
CARTOON FAY FAY,J Moreira,A T Millard,132,1133,2,1.48.23,3.2,4,5,4,1
TIANHUANG,J Moreira,J Moore,115,1154,4,1.08.65,2,9,9,4,4
ACCESS YEARS,J Moreira,J Size,124,1054,4,1.37.00,12,4,4,2,3
SEA RUBY,J Moreira,J Moore,127,1188,7,1.08.56,5.4,3,3,6,6
STAR MAJESTIC,J Moreira,P O'Sullivan,130,1111,6,1.37.54,9.8,3,4,3,5
BRILLIANT MONKEYS,J Moreira,C W Chang,125,1122,14,1.23.05,5.8,4,3,4,1
COUNTRY MELODY,J Moreira,J Size,123,1079,4,1.09.65,6.7,5,6,6,6
AMAZING ALWAYS,J Moreira,D E Ferraris,119,1152,4,1.22.53,4.7,7,7,6,3
GLENEALY PRIZE,J Moreira,P O'Sullivan,125,1251,6,1.10.13,1.9,8,8,2,2
SAVVY NATURE,J Moreira,J Moore,127,1255,4,1.48.59,3.9,8,8,9,5
ASHKIYR,J Moreira,J Moore,125,1069,2,1.48.92,2.3,9,10,10,10
HELENE HAPPY STAR,J Moreira,J Moore,123,1116,8,2.02.09,3.1,7,6,6,4
ABLE FRIEND,J Moreira,J Moore,128,1293,6,1.33.96,1.4,7,8,7,3
PENIAPHOBIA,J Moreira,A S Cruz,128,1151,11,1.08.49,4.1,1,1,2,2
CAREFREE LET GO,J Moreira,T P Yung,115,1061,3,1.21.94,3.1,5,5,5,6
EASY HEDGE,J Moreira,J Size,127,1111,11,1.23.43,1.4,2,3,4,1
SO FAST,J Moreira,J Size,130,1098,11,1.22.24,2.7,1,2,1,1
TIANHUANG,J Moreira,J Moore,115,1125,7,1.40.49,2.2,10,12,11,8
MIGHTY GAINS,J Moreira,K L Man,130,1114,4,1.10.79,5.1,6,6,2,2
CRIMSON HEART,J Moreira,A T Millard,121,1100,3,1.50.96,3.1,3,4,6,3
WHO ELSE BUT YOU,J Moreira,P O'Sullivan,129,1092,12,1.10.69,2.6,1,1,1,1
GRAND PLUS,J Moreira,J Size,128,1097,1,1.10.13,2.8,6,3,3,3
SURE PEACE,J Moreira,J Moore,123,1140,6,1.40.10,3.3,7,7,5,1
HIT THE BID,J Moreira,A T Millard,122,1173,6,1.09.79,4,9,9,2,2
LUCKY CELEBRITY,J Moreira,W Y So,123,1045,12,0.58.45,2.3,3,2,14,14
